
P2:Queue: qwrites 
(1, 1)   ,  (1, 2)   ,  (1, 3)   ,  (1, 5)   ,  (1, 5)   ,  (1, 8)   ,  P2:Queue: qwrites 
(1, 1)   ,  (1, 2)   ,  (1, 3)   ,  (1, 5)   ,  (1, 5)   ,  (1, 8)   ,  P2:Queue: qwrites 
(1, 1)   ,  (1, 2)   ,  (1, 3)   ,  (1, 5)   ,  (1, 11)   ,  (1, 8)   ,  P2:Queue: qwrites 
(1, 1)   ,  (1, 2)   ,  (1, 3)   ,  (1, 5)   ,  (1, 11)   ,  (1, 8)   ,  P2:Queue: qwrites 
(1, 1)   ,  (1, 2)   ,  (1, 3)   ,  (1, 5)   ,  (1, 11)   ,  (1, 8)   ,  P2:Queue: qwrites 
(1, 1)   ,  (1, 2)   ,  (1, 3)   ,  (1, 5)   ,  (1, 11)   ,  (1, 8)   ,  P2:Queue: qwrites 
(1, 1)   ,  (1, 2)   ,  (1, 3)   ,  (1, 5)   ,  (1, 11)   ,  (1, 8)   ,  P2:Queue: qwrites 
(1, 1)   ,  (1, 2)   ,  (1, 3)   ,  (1, 5)   ,  (1, 11)   ,  (1, 8)   ,  P2:Queue: qwrites 
(1, 1)   ,  (1, 2)   ,  (1, 3)   ,  (1, 5)   ,  (1, 11)   ,  (1, 8)   ,  P2:Queue: qwrites 
(1, 1)   ,  (1, 2)   ,  (1, 3)   ,  (-1, 5)   ,  (1, 11)   ,  (1, 8)   ,  P2:Queue: qwrites 
(1, 1)   ,  (1, 2)   ,  (1, 3)   ,  (-1, 5)   ,  (1, 11)   ,  (1, 8)   ,  P2:Queue: qwrites 
(1, 1)   ,  (1, 2)   ,  (1, 3)   ,  (-1, 5)   ,  (1, 11)   ,  (1, 8)   ,  P2:Queue: qwrites 
(1, 1)   ,  (1, 2)   ,  (1, 3)   ,  (-1, 5)   ,  (1, 11)   ,  (1, 8)   ,  
